#output1 output2 etc.
40503	11.3
24045	18.8
24704	20.3
25215	61.8
54968	17.5
18453	20.2
29269	12.9
27128	12.9
26246	5.1
41588	4.7
27049	6.6
39908	5.9
29011	11.3
18968	17.1
41903	11.0
24309	16.7
24932	18.1
25740	57.4
55272	16.3
18872	17.1
29877	12.5
27599	12.5
26676	4.8
42490	4.5
27490	6.4
40816	5.6
29619	11.0
29584	39.7
66440	27.0
28782	40.5
29229	41.6
35015	78.0
63561	38.3
28124	39.6
40330	28.1
34972	28.1
38700	33.9
70132	33.6
39540	35.4
68466	35.0
40182	27.0
20624	21.0
45619	10.3
24816	20.0
24972	20.0
27486	43.6
55999	19.2
20991	21.1
30382	10.4
27937	10.4
26144	8.4
26998	8.8
44617	7.3
30333	10.3
22975	33.5
52948	19.3
24810	24.6
24773	24.4
28587	66.1
57152	23.7
24416	33.6
32967	19.4
29762	19.5
27477	11.5
54467	6.3
28299	12.0
52935	7.1
32928	19.3
25146	36.2
56803	18.2
25610	27.3
25438	27.1
30242	72.0
59616	25.1
26457	38.2
34653	18.2
30650	18.2
30154	17.4
61239	11.3
31095	18.0
59732	11.9
34639	18.2
28660	56.5
69756	56.4
27584	51.0
27417	51.1
32404	66.7
64411	49.3
29103	56.3
40638	56.5
35284	56.5
35254	42.1
36379	42.5
68749	39.7
40629	56.4
63054	11.5
28805	52.8
28560	52.8
34350	64.7
67605	50.9
29728	56.1
38091	11.5
32178	11.5
39540	38.8
76135	32.5
40820	39.4
74666	32.5
38080	11.5
22647	19.8
50950	11.3
25306	18.7
25397	18.8
28734	55.3
56660	18.0
23486	19.9
32570	12.7
29809	12.7
27603	8.2
51575	5.5
28377	8.6
50014	6.2
32381	11.3
20075	19.9
46083	13.4
24213	18.8
23995	18.8
26996	43.1
56294	18.2
21568	19.9
29661	13.4
27410	13.4
24050	11.5
46647	6.7
24942	12.0
45144	7.0
29664	13.4
28358	34.5
63537	20.9
27803	28.1
27839	28.0
32693	70.0
62274	26.6
28988	35.3
38091	21.3
33984	21.3
34150	18.5
