1;"600"

"Date/Time";"[1] Zone Ideal Loads Supply Air Total Cooling Energy (kWh)";"[1] Zone Ideal Loads Supply Air Total Heating Energy (kWh)"
;"SYSTEM";"SYSTEM"
"01.01.2002";"6854,73031678313";"4053,98534451929"
