in:WU,in:SHGC,in:InsTh,in:InsLa,in:CSB,in:CSP_R,in:CSP_O,in:HSB,in:HSP_R,in:HSP_O,in:SD,in:NOfS,in:DOASHC,in:RadCoilLowT,in:dTRad,in:RadCtrTh,in:RadSurfType,in:DOAS_SHT,in:DOAS_SLT,out:kgCO2,out:Comf time,out:Condensation,out:HP_SCOP,out:PeakCL,out:PeakHL,img,threeD
1,0.9,5,2,33,27,27,16,18,19,0.1,4,0,21,3,1,0,27,18,23596,78.53,0,3.6,11483,17392,WU1_SHGC0.9_InsTh5_InsLa2_CSB33_CSP_R27_CSP_O27_HSB16_HSP_R18_HSP_O19_SD0.1_NOfS4_DOASHC0_RadCoilLowT21_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU1_SHGC0.9_InsTh5_InsLa2_CSB33_CSP_R27_CSP_O27_HSB16_HSP_R18_HSP_O19_SD0.1_NOfS4_DOASHC0_RadCoilLowT21_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
1,0.9,3,3,32,27,26,16,19,20,0,2,4,18,6,1,0,28,18,21520,75.8,0,3.44,14544,23257,WU1_SHGC0.9_InsTh3_InsLa3_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS2_DOASHC4_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT18_Top.png,WU1_SHGC0.9_InsTh3_InsLa3_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS2_DOASHC4_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT18.json
1,0.9,5,2,33,28,27,16,18,19,0.1,2,0,21,6,1,0,27,18,21568,80.16,0,3.59,11321,17405,WU1_SHGC0.9_InsTh5_InsLa2_CSB33_CSP_R28_CSP_O27_HSB16_HSP_R18_HSP_O19_SD0.1_NOfS2_DOASHC0_RadCoilLowT21_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU1_SHGC0.9_InsTh5_InsLa2_CSB33_CSP_R28_CSP_O27_HSB16_HSP_R18_HSP_O19_SD0.1_NOfS2_DOASHC0_RadCoilLowT21_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
1,0.9,3,3,32,28,26,16,19,20,0,4,4,18,6,1,0,28,18,21356,78.97,0,3.68,13694,23257,WU1_SHGC0.9_InsTh3_InsLa3_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC4_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT18_Top.png,WU1_SHGC0.9_InsTh3_InsLa3_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC4_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT18.json
3,0.6,5,1,33,27,27,16,18,19,0,0,1,21,6,3,0,27,13,26395,83.97,0,3.49,7176,18918,WU3_SHGC0.6_InsTh5_InsLa1_CSB33_CSP_R27_CSP_O27_HSB16_HSP_R18_HSP_O19_SD0_NOfS0_DOASHC1_RadCoilLowT21_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT27_DOAS_SLT13_Top.png,WU3_SHGC0.6_InsTh5_InsLa1_CSB33_CSP_R27_CSP_O27_HSB16_HSP_R18_HSP_O19_SD0_NOfS0_DOASHC1_RadCoilLowT21_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT27_DOAS_SLT13.json
2,0.7,2,2,34,28,26,12,19,21,0,4,5,23,6,1,0,27,17,31457,63.01,0,3.51,9889,37465,WU2_SHGC0.7_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O21_SD0_NOfS4_DOASHC5_RadCoilLowT23_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT17_Top.png,WU2_SHGC0.7_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O21_SD0_NOfS4_DOASHC5_RadCoilLowT23_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT17.json
1,0.7,3,2,32,27,26,16,19,19,0,2,0,18,6,1,0,27,19,19698,73.62,0,3.61,9940,19933,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
1,0.7,3,2,33,28,26,12,19,20,0,4,0,18,6,1,0,28,19,19987,75.35,53.666667,3.68,9940,25755,WU1_SHGC0.7_InsTh3_InsLa2_CSB33_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB33_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19.json
1,0.9,3,2,33,27,26,12,19,19,0,2,0,18,6,1,0,27,18,20071,77.24,0,3.66,14531,23733,WU1_SHGC0.9_InsTh3_InsLa2_CSB33_CSP_R27_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU1_SHGC0.9_InsTh3_InsLa2_CSB33_CSP_R27_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
1,0.7,2,2,34,28,26,12,18,19,0.1,4,0,21,6,1,0,27,18,23088,86.12,0,3.59,9284,24556,WU1_SHGC0.7_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R18_HSP_O19_SD0.1_NOfS4_DOASHC0_RadCoilLowT21_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU1_SHGC0.7_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R18_HSP_O19_SD0.1_NOfS4_DOASHC0_RadCoilLowT21_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
3,0.7,3,1,34,27,26,12,19,19,0,0,5,18,6,1,0,27,18,22660,68.33,0,3.76,9730,31743,WU3_SHGC0.7_InsTh3_InsLa1_CSB34_CSP_R27_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS0_DOASHC5_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU3_SHGC0.7_InsTh3_InsLa1_CSB34_CSP_R27_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS0_DOASHC5_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
1,0.6,5,1,33,27,27,16,18,21,0,2,0,23,6,1,0,27,14,28660,82.18,0,3.77,7741,25167,WU1_SHGC0.6_InsTh5_InsLa1_CSB33_CSP_R27_CSP_O27_HSB16_HSP_R18_HSP_O21_SD0_NOfS2_DOASHC0_RadCoilLowT23_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT14_Top.png,WU1_SHGC0.6_InsTh5_InsLa1_CSB33_CSP_R27_CSP_O27_HSB16_HSP_R18_HSP_O21_SD0_NOfS2_DOASHC0_RadCoilLowT23_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT14.json
1,0.9,3,2,32,27,26,12,19,19,0,2,4,18,6,1,0,27,19,21438,75.99,0,3.43,14531,23733,WU1_SHGC0.9_InsTh3_InsLa2_CSB32_CSP_R27_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC4_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.9_InsTh3_InsLa2_CSB32_CSP_R27_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC4_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
1,0.7,3,3,33,28,26,16,19,20,0,4,0,18,6,1,0,28,18,19819,63.59,0,3.44,9968,23257,WU1_SHGC0.7_InsTh3_InsLa3_CSB33_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT18_Top.png,WU1_SHGC0.7_InsTh3_InsLa3_CSB33_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT18.json
1,0.9,3,2,33,27,26,16,19,19,0,2,0,18,6,1,0,27,19,20010,78.08,0,3.61,14531,19933,WU1_SHGC0.9_InsTh3_InsLa2_CSB33_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.9_InsTh3_InsLa2_CSB33_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
1,0.7,3,2,32,28,27,16,18,19,0.1,4,0,21,3,1,0,27,18,24181,84.52,0,3.54,8141,17577,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R28_CSP_O27_HSB16_HSP_R18_HSP_O19_SD0.1_NOfS4_DOASHC0_RadCoilLowT21_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R28_CSP_O27_HSB16_HSP_R18_HSP_O19_SD0.1_NOfS4_DOASHC0_RadCoilLowT21_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
2,0.7,2,2,34,28,26,12,19,19,0,4,5,21,6,3,0,28,17,25882,88.65,0,3.57,9889,30964,WU2_SHGC0.7_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC5_RadCoilLowT21_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT28_DOAS_SLT17_Top.png,WU2_SHGC0.7_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC5_RadCoilLowT21_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT28_DOAS_SLT17.json
1,0.9,2,3,32,28,26,12,19,20,0,4,1,19,6,1,0,27,18,21868,79.46,0,3.75,13749,28406,WU1_SHGC0.9_InsTh2_InsLa3_CSB32_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC1_RadCoilLowT19_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU1_SHGC0.9_InsTh2_InsLa3_CSB32_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC1_RadCoilLowT19_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
1,0.7,2,2,34,28,26,12,18,19,0.1,2,0,18,6,1,0,27,18,19915,60.03,0,3.48,9648,24570,WU1_SHGC0.7_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R18_HSP_O19_SD0.1_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU1_SHGC0.7_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R18_HSP_O19_SD0.1_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
1,0.9,3,1,33,27,27,16,19,19,0,4,0,21,3,1,0,27,19,23005,87.02,0,3.59,13073,19691,WU1_SHGC0.9_InsTh3_InsLa1_CSB33_CSP_R27_CSP_O27_HSB16_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC0_RadCoilLowT21_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.9_InsTh3_InsLa1_CSB33_CSP_R27_CSP_O27_HSB16_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC0_RadCoilLowT21_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
1,0.7,3,2,32,27,26,16,19,20,0,4,0,18,6,1,0,27,19,19917,73.65,0,3.65,9940,23016,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
1,0.7,3,1,32,28,26,16,19,19,0,2,0,18,6,1,0,28,19,19484,65.83,0,3.38,9916,19691,WU1_SHGC0.7_InsTh3_InsLa1_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa1_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19.json
3,0.6,2,2,34,28,27,12,18,19,0,3,1,21,6,3,0,27,17,27444,84.65,0,3.64,7336,32421,WU3_SHGC0.6_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O27_HSB12_HSP_R18_HSP_O19_SD0_NOfS3_DOASHC1_RadCoilLowT21_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT27_DOAS_SLT17_Top.png,WU3_SHGC0.6_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O27_HSB12_HSP_R18_HSP_O19_SD0_NOfS3_DOASHC1_RadCoilLowT21_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT27_DOAS_SLT17.json
2,0.7,2,1,33,27,26,16,19,21,0,1,5,23,3,1,0,27,14,31387,82.08,0,3.52,9847,27744,WU2_SHGC0.7_InsTh2_InsLa1_CSB33_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O21_SD0_NOfS1_DOASHC5_RadCoilLowT23_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT14_Top.png,WU2_SHGC0.7_InsTh2_InsLa1_CSB33_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O21_SD0_NOfS1_DOASHC5_RadCoilLowT23_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT14.json
2,0.9,2,1,34,27,27,12,19,19,0,4,5,21,3,1,0,28,17,24917,84.23,0,3.61,12699,31061,WU2_SHGC0.9_InsTh2_InsLa1_CSB34_CSP_R27_CSP_O27_HSB12_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC5_RadCoilLowT21_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT17_Top.png,WU2_SHGC0.9_InsTh2_InsLa1_CSB34_CSP_R27_CSP_O27_HSB12_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC5_RadCoilLowT21_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT17.json
1,0.7,3,2,33,28,26,16,19,19,0,4,0,21,6,3,0,27,18,23587,86.63,0,3.47,9940,19933,WU1_SHGC0.7_InsTh3_InsLa2_CSB33_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC0_RadCoilLowT21_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB33_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC0_RadCoilLowT21_dTRad6_RadCtrTh3_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
1,0.7,3,1,32,27,26,16,19,19,0,2,0,18,6,1,0,27,19,19540,73.78,0,3.61,9916,19691,WU1_SHGC0.7_InsTh3_InsLa1_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa1_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
1,0.7,3,2,32,28,26,16,19,19,0,2,0,18,6,1,0,27,19,19533,63.69,0,3.41,9940,19933,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
1,0.7,3,2,32,27,26,16,19,19,0,2,0,18,6,1,0,28,19,19702,74.87,54.833333,3.61,9940,19933,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19.json
1,0.7,3,2,33,28,26,12,19,20,0,4,0,18,6,1,0,27,19,20002,73.85,0,3.67,9940,25755,WU1_SHGC0.7_InsTh3_InsLa2_CSB33_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB33_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
1,0.6,3,1,33,28,27,17,18,20,0,4,0,23,6,1,0,27,19,25633,54.42,0,3.62,7730,18483,WU1_SHGC0.6_InsTh3_InsLa1_CSB33_CSP_R28_CSP_O27_HSB17_HSP_R18_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT23_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.6_InsTh3_InsLa1_CSB33_CSP_R28_CSP_O27_HSB17_HSP_R18_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT23_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
3,0.7,2,2,33,27,26,12,19,21,0,0,5,18,3,1,0,28,14,23532,45.32,0,3.57,9842,38868,WU3_SHGC0.7_InsTh2_InsLa2_CSB33_CSP_R27_CSP_O26_HSB12_HSP_R19_HSP_O21_SD0_NOfS0_DOASHC5_RadCoilLowT18_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT14_Top.png,WU3_SHGC0.7_InsTh2_InsLa2_CSB33_CSP_R27_CSP_O26_HSB12_HSP_R19_HSP_O21_SD0_NOfS0_DOASHC5_RadCoilLowT18_dTRad3_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT14.json
1,0.9,2,2,32,27,26,12,19,20,0,4,5,19,6,1,0,27,19,22261,78.85,0,3.76,14575,27992,WU1_SHGC0.9_InsTh2_InsLa2_CSB32_CSP_R27_CSP_O26_HSB12_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC5_RadCoilLowT19_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.9_InsTh2_InsLa2_CSB32_CSP_R27_CSP_O26_HSB12_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC5_RadCoilLowT19_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
1,0.7,3,3,34,28,26,12,19,19,0,4,0,18,6,1,0,28,19,20022,75.1,42.166667,3.67,9968,24712,WU1_SHGC0.7_InsTh3_InsLa3_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa3_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19.json
1,0.7,3,2,33,28,26,13,19,20,0,4,0,18,6,1,0,27,19,20368,73.53,0,3.7,9940,30838,WU1_SHGC0.7_InsTh3_InsLa2_CSB33_CSP_R28_CSP_O26_HSB13_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB33_CSP_R28_CSP_O26_HSB13_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT19.json
1,0.7,3,2,34,28,26,12,19,19,0,4,0,18,6,1,0,28,19,19828,75.42,54.5,3.66,9940,23733,WU1_SHGC0.7_InsTh3_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19.json
1,0.7,3,2,32,28,26,16,19,19,0,2,0,18,6,1,0,28,19,19702,74.87,54.833333,3.61,9940,19933,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19.json
1,0.7,3,1,32,28,26,16,19,20,0,4,0,18,6,1,0,28,19,19622,66.47,28.166667,3.41,9916,22757,WU1_SHGC0.7_InsTh3_InsLa1_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa1_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19.json
1,0.7,3,3,33,28,26,12,19,20,0,2,0,18,6,1,0,28,19,20157,75.26,29,3.68,9968,26220,WU1_SHGC0.7_InsTh3_InsLa3_CSB33_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O20_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19_Top.png,WU1_SHGC0.7_InsTh3_InsLa3_CSB33_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O20_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT19.json
1,0.9,3,2,32,28,26,16,19,20,0,4,4,18,6,1,0,28,18,21213,79.01,0,3.68,13679,23016,WU1_SHGC0.9_InsTh3_InsLa2_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC4_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT18_Top.png,WU1_SHGC0.9_InsTh3_InsLa2_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS4_DOASHC4_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT18.json
1,0.7,3,2,32,28,26,16,19,19,0,2,0,18,6,1,0,27,18,19712,72.08,0,3.6,9940,19933,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU1_SHGC0.7_InsTh3_InsLa2_CSB32_CSP_R28_CSP_O26_HSB16_HSP_R19_HSP_O19_SD0_NOfS2_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
