in:WU,in:SHGC,in:InsTh,in:InsLa,in:CSB,in:CSP_R,in:CSP_O,in:HSB,in:HSP_R,in:HSP_O,in:SD,in:NOfS,in:DOASHC,in:RadCoilLowT,in:dTRad,in:RadCtrTh,in:RadSurfType,in:DOAS_SHT,in:DOAS_SLT,out:kgCO2,out:Comf time,out:Condensation,out:HP_SCOP,out:PeakCL,out:PeakHL,img,threeD
3,0.6,5,1,31,28,25,13,19,21,0.2,1,6,19,3,2,2,29,10,26802,50.93,0,3.65,9469,34758,WU3_SHGC0.6_InsTh5_InsLa1_CSB31_CSP_R28_CSP_O25_HSB13_HSP_R19_HSP_O21_SD0.2_NOfS1_DOASHC6_RadCoilLowT19_dTRad3_RadCtrTh2_RadSurfType2_DOAS_SHT29_DOAS_SLT10_Top.png,WU3_SHGC0.6_InsTh5_InsLa1_CSB31_CSP_R28_CSP_O25_HSB13_HSP_R19_HSP_O21_SD0.2_NOfS1_DOASHC6_RadCoilLowT19_dTRad3_RadCtrTh2_RadSurfType2_DOAS_SHT29_DOAS_SLT10.json
1,0.9,6,3,34,27,24,12,19,21,0.1,2,1,21,4,3,2,21,14,34453,71.57,0,3.6,15999,34426,WU1_SHGC0.9_InsTh6_InsLa3_CSB34_CSP_R27_CSP_O24_HSB12_HSP_R19_HSP_O21_SD0.1_NOfS2_DOASHC1_RadCoilLowT21_dTRad4_RadCtrTh3_RadSurfType2_DOAS_SHT21_DOAS_SLT14_Top.png,WU1_SHGC0.9_InsTh6_InsLa3_CSB34_CSP_R27_CSP_O24_HSB12_HSP_R19_HSP_O21_SD0.1_NOfS2_DOASHC1_RadCoilLowT21_dTRad4_RadCtrTh3_RadSurfType2_DOAS_SHT21_DOAS_SLT14.json
3,0.9,5,2,33,25,27,16,19,21,0,0,5,23,6,1,0,28,18,26951,55.93,0,3.7,12190,27733,WU3_SHGC0.9_InsTh5_InsLa2_CSB33_CSP_R25_CSP_O27_HSB16_HSP_R19_HSP_O21_SD0_NOfS0_DOASHC5_RadCoilLowT23_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT18_Top.png,WU3_SHGC0.9_InsTh5_InsLa2_CSB33_CSP_R25_CSP_O27_HSB16_HSP_R19_HSP_O21_SD0_NOfS0_DOASHC5_RadCoilLowT23_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT28_DOAS_SLT18.json
3,0.6,4,1,30,24,25,12,19,19,0.2,4,7,20,6,3,2,30,12,26927,76.63,0,3.8,9131,31177,WU3_SHGC0.6_InsTh4_InsLa1_CSB30_CSP_R24_CSP_O25_HSB12_HSP_R19_HSP_O19_SD0.2_NOfS4_DOASHC7_RadCoilLowT20_dTRad6_RadCtrTh3_RadSurfType2_DOAS_SHT30_DOAS_SLT12_Top.png,WU3_SHGC0.6_InsTh4_InsLa1_CSB30_CSP_R24_CSP_O25_HSB12_HSP_R19_HSP_O19_SD0.2_NOfS4_DOASHC7_RadCoilLowT20_dTRad6_RadCtrTh3_RadSurfType2_DOAS_SHT30_DOAS_SLT12.json
2,0.7,3,1,35,25,24,15,19,19,0.1,2,1,19,5,3,0,29,19,23213,76.47,10.833333,3.53,12543,23124,WU2_SHGC0.7_InsTh3_InsLa1_CSB35_CSP_R25_CSP_O24_HSB15_HSP_R19_HSP_O19_SD0.1_NOfS2_DOASHC1_RadCoilLowT19_dTRad5_RadCtrTh3_RadSurfType0_DOAS_SHT29_DOAS_SLT19_Top.png,WU2_SHGC0.7_InsTh3_InsLa1_CSB35_CSP_R25_CSP_O24_HSB15_HSP_R19_HSP_O19_SD0.1_NOfS2_DOASHC1_RadCoilLowT19_dTRad5_RadCtrTh3_RadSurfType0_DOAS_SHT29_DOAS_SLT19.json
3,0.6,4,1,30,24,24,16,20,20,0.1,4,2,18,5,2,3,23,18,22762,54.74,0,3.74,10832,24990,WU3_SHGC0.6_InsTh4_InsLa1_CSB30_CSP_R24_CSP_O24_HSB16_HSP_R20_HSP_O20_SD0.1_NOfS4_DOASHC2_RadCoilLowT18_dTRad5_RadCtrTh2_RadSurfType3_DOAS_SHT23_DOAS_SLT18_Top.png,WU3_SHGC0.6_InsTh4_InsLa1_CSB30_CSP_R24_CSP_O24_HSB16_HSP_R20_HSP_O20_SD0.1_NOfS4_DOASHC2_RadCoilLowT18_dTRad5_RadCtrTh2_RadSurfType3_DOAS_SHT23_DOAS_SLT18.json
4,1,6,3,33,24,27,16,19,19,0.1,2,5,22,3,3,1,29,16,28687,85.22,0,4.29,3366,20525,WU4_SHGC1_InsTh6_InsLa3_CSB33_CSP_R24_CSP_O27_HSB16_HSP_R19_HSP_O19_SD0.1_NOfS2_DOASHC5_RadCoilLowT22_dTRad3_RadCtrTh3_RadSurfType1_DOAS_SHT29_DOAS_SLT16_Top.png,WU4_SHGC1_InsTh6_InsLa3_CSB33_CSP_R24_CSP_O27_HSB16_HSP_R19_HSP_O19_SD0.1_NOfS2_DOASHC5_RadCoilLowT22_dTRad3_RadCtrTh3_RadSurfType1_DOAS_SHT29_DOAS_SLT16.json
2,0.7,2,4,30,23,24,16,20,21,0.3,3,1,22,3,2,2,28,13,34255,74.58,0,3.76,11857,29059,WU2_SHGC0.7_InsTh2_InsLa4_CSB30_CSP_R23_CSP_O24_HSB16_HSP_R20_HSP_O21_SD0.3_NOfS3_DOASHC1_RadCoilLowT22_dTRad3_RadCtrTh2_RadSurfType2_DOAS_SHT28_DOAS_SLT13_Top.png,WU2_SHGC0.7_InsTh2_InsLa4_CSB30_CSP_R23_CSP_O24_HSB16_HSP_R20_HSP_O21_SD0.3_NOfS3_DOASHC1_RadCoilLowT22_dTRad3_RadCtrTh2_RadSurfType2_DOAS_SHT28_DOAS_SLT13.json
1,0.6,3,3,32,27,26,16,19,20,0,2,5,19,3,1,1,28,14,23060,62.15,0,3.76,8710,23257,WU1_SHGC0.6_InsTh3_InsLa3_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS2_DOASHC5_RadCoilLowT19_dTRad3_RadCtrTh1_RadSurfType1_DOAS_SHT28_DOAS_SLT14_Top.png,WU1_SHGC0.6_InsTh3_InsLa3_CSB32_CSP_R27_CSP_O26_HSB16_HSP_R19_HSP_O20_SD0_NOfS2_DOASHC5_RadCoilLowT19_dTRad3_RadCtrTh1_RadSurfType1_DOAS_SHT28_DOAS_SLT14.json
1,0.7,2,2,34,28,26,12,19,19,0,4,0,18,6,1,0,27,18,19972,60.87,0,3.47,10028,25594,WU1_SHGC0.7_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18_Top.png,WU1_SHGC0.7_InsTh2_InsLa2_CSB34_CSP_R28_CSP_O26_HSB12_HSP_R19_HSP_O19_SD0_NOfS4_DOASHC0_RadCoilLowT18_dTRad6_RadCtrTh1_RadSurfType0_DOAS_SHT27_DOAS_SLT18.json
